"Equipment_ID","Facility_Code","Type","Library_ID","Model","Manufacturer","Serial_Number","Power_Source","RefrigerAnt","CFC_Free","Gross_Refr_Volume","Net_Refr_Volume","Gross_Freezer_Volume","Net_Freezer_Volume","Year","Condition","Status","No_Monitor","Dial_Thermometer","Stem_Thermometer","Fridge_Tag","No_Spare_Parts","No_Finance","No_Fuel","Need_to_Board_Off","Days_Above_8","Days_Below_2"
"R-000784","04-23","ILR","E324M","TCW_1152","DOMETIC",,"E","R134A","Yes",250,169,0,0,2001,"Working_well","In_use",,,,,,,,,,
"R-001050","05-61","ILR","E324M","TCW_1152","DOMETIC",,"E","R134A","Yes",250,169,0,0,2001,"Working_well","In_use",,,,,,,,,,
"R-001054","05-62","ILR","E324M","TCW_1152","DOMETIC",,"E","R134A","Yes",250,169,0,0,2001,"Working_well","In_use",,,,,,,,,,
"R-000794","04-28","UREK","U001","DOMESTIC_KEROSENE","UNKNOWN  FRIMETEC RZ 250 KT",,"K","NH3","Yes",0,0,0,0,2008,"Not_working","Not_in_use",,,,,,,,,,
"R-000782","04-23","URAC","U003","DOMESTIC","UNKNOWN",,"E","R134A","Yes",160,0,0,0,2004,"Working_well","In_use",,,,,,,,,,
"R-001104","05-94","UREK","E385M","V_170_EK","SIBIR",,"EK","NH3","Yes",170,55,47,36,2001,"Working_but_needs_maintenance","In_use",,,,,,,,,,
"R-001276","06-44","UREK","E385M","V_170_EK","SIBIR",,"EK","NH3","Yes",170,55,47,36,2001,"Not_working","Not_in_use",,,,,,,,,,
"R-000247","03-36","ILR","E357M","MK_144","Vestfrost",,"E","R134A","Yes",94,45,0,0,2004,"Working_but_needs_maintenance","In_use",,,,,,,,,,
"R-001069","05-69","ILR","E324M","TCW_1152","DOMETIC",,"E","R134A","Yes",250,169,0,0,2001,"Working_well","In_use",,,,,,,,,,
"R-001098","05-89","ILR","E324M","TCW_1152","DOMETIC",,"E","R134A","Yes",250,169,0,0,2001,"Working_well","In_use",,,,,,,,,,
"R-001350","06-80","ILR","E324M","TCW_1152","DOMETIC",,"E","R134A","Yes",250,169,0,0,2001,"Working_well","In_use",,,,,,,,,,
"R-001351","06-80","ILR","E324M","TCW_1152","DOMETIC",,"E","R134A","Yes",250,169,0,0,2001,"Working_well","In_use",,,,,,,,,,
"R-001352","06-80","ILR","E324M","TCW_1152","DOMETIC",,"E","R134A","Yes",250,169,0,0,2001,"Working_well","In_use",,,,,,,,,,
"R-001371","06-89","ILR","E324M","TCW_1152","DOMETIC",,"E","R134A","Yes",250,169,0,0,2001,"Working_well","In_use",,,,,,,,,,
"R-000005","02-70","ILR","E362M","TCW_1990","DOMETIC",,"E","R134A","Yes",66,37.5,17,0,2001,"Working_well","In_use",,,,,,,,,,
"R-000800","04-32","UREK","U001","DOMESTIC_KEROSENE","UNKNOWN  FRIMETEC RZ 250 KT",,"K","NH3","Yes",0,0,0,0,2008,"Working_well","In_use",,,,,,,,,,
